series,season,episode,title,imdb url,user rating,user votes,date,stardate,director,writer,featured characters,main cast,recurring cast,,
TOS,3,4,And the Children Shall Lead,http://www.imdb.com/title/tt0708417/,5.4,618,11-Oct-68,5029.5,Marvin Chomsky,Edward J. Lakso,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,3,5,Is There in Truth No Beauty?,http://www.imdb.com/title/tt0708433/,7,583,18-Oct-68,5630.7,Ralph Senensky,Jean Lisette Aroeste,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,3,6,Spectre of the Gun,http://www.imdb.com/title/tt0708448/,7.4,625,25-Oct-68,4385.3,Vincent McEveety,Lee Cronin,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,3,7,Day of the Dove,http://www.imdb.com/title/tt0708427/,7.9,631,1-Nov-68,Unknown,Marvin Chomsky,Jerome Bixby,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,3,8,For the World Is Hollow and I Have Touched the Sky,http://www.imdb.com/title/tt0708430/,6.9,561,8-Nov-68,5476.3,Tony Leader,Rik Vollaerts,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,3,9,The Tholian Web,http://www.imdb.com/title/tt0708479/,7.9,626,15-Nov-68,5693.2,Herb Wallerstein,Judy Burns,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,3,10,Plato's Stepchildren,http://www.imdb.com/title/tt0708443/,6.7,568,22-Nov-68,5784.2,David Alexander,Meyer Dolinsky,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,3,11,Wink of an Eye,http://www.imdb.com/title/tt0708490/,7.4,542,29-Nov-68,5710.5,Jud Taylor,Lee Cronin,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,3,12,The Empath,http://www.imdb.com/title/tt0708462/,6.7,588,6-Dec-68,5121.5,John Erman,Joyce Muskat,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,3,13,Elaan of Troyius,http://www.imdb.com/title/tt0708428/,7.1,558,20-Dec-68,4372.5,John Meredyth Lucas,John Meredyth Lucas,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,3,14,Whom Gods Destroy,http://www.imdb.com/title/tt0708489/,6.9,533,3-Jan-69,5718.3,Herb Wallerstein,Lee Erwin,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,3,15,Let That Be Your Last Battlefield,http://www.imdb.com/title/tt0708435/,7.2,594,10-Jan-69,5730.2,Jud Taylor,Lee Cronin,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
